Year (year),State Name (state_name),State Code (state_code),District Name (district_name),District Code (district_code),Block Name (block_name),Block Code (block_code),Village Name (village_name),Village Code (village_code),Nutrient Type (nutrient_type),Nutrient Name (nutrient_name),Nutrient Level (nutrient_level),Value (value)
"2024-25","Gujarat","24","Mahisagar","669","Virpur","4165","Panta","517315","Macro","Soil Ph","Alkaline",0
"2024-25","Bihar","10","Nalanda","209","Chandi","1898","Rupaspur","244325","Macro","Organic Carbon","High",2
"2023-24","Bihar","10","Gaya","196","Tekari","1754","Badwa","254695","Macro","Soil Ph","Neutral",298
"2024-25","Tamil Nadu","33","Dharmapuri","571","Pappireddipatty","6139","Kullampatty","643553","Macro","Phosphorus","Medium",3
"2023-24","Haryana","6","Hisar","63","Barwala","486","Kharak(17)","60986","Macro","Nitrogen","Medium",0
"2023-24","Gujarat","24","Panch Mahals","454","Kalol","4189","Delol","518685","Micro","Manganese","Sufficient",10
"2023-24","Gujarat","24","Amreli","439","Saverkundla","4070","Vijayanagar","515797","Macro","Nitrogen","High",0
"2024-25","Assam","18","Cachar","282","Lakhipur","2514","Sibpur Pt Iii","299865","Micro","Sulphur","Sufficient",3
"2024-25","Bihar","10","Darbhanga","195","Keotirunway","1725","Karjapatti","226876","Macro","Phosphorus","Medium",0
"2024-25","Odisha","21","Malkangiri","364","Kalimela","3480","Ambaguda","430992","Macro","Potassium","Medium",31
"2023-24","West Bengal","19","Alipurduar","664","Kumargram","2925","Amarpur","307179","Macro","Potassium","High",0
"2024-25","Madhya Pradesh","23","Sagar","425","Banda","3963","Pura Bineka","460173","Macro","Phosphorus","Low",1
"2024-25","Odisha","21","Balangir","345","Khaprakhol","3290","Tambipadar","420722","Micro","Boron","Sufficient",6
"2024-25","Bihar","10","Saharsa","216","Sattar Kattaiya","2035","Chauri Bijalpur","226309","Macro","Potassium","Medium",5
"2023-24","West Bengal","19","Purba Bardhaman","306","Bhatar","2799","Banpash","319777","Micro","Iron","Deficient",0
"2024-25","Himachal Pradesh","2","Mandi","22","Seraj","183","Sharan (96)","15088","Macro","Soil Ph","Neutral",16
"2024-25","Andhra Pradesh","28","Anakapalli","744","Anakapalle","5582","Thummapala","586190","Macro","Potassium","Low",20
"2023-24","Rajasthan","8","Sirohi","115","Sheoganj","784","Andor","89898","Macro","Organic Carbon","High",0
"2024-25","Rajasthan","8","Churu","96","Rajgarh","655","Rampura","70228","Micro","Zinc","Sufficient",2
"2023-24","Tamil Nadu","33","Mayiladuthurai","735","Sembanar Koil","6234","Keelamathur","637590","Micro","Zinc","Sufficient",100
"2024-25","Madhya Pradesh","23","Rewa","424","Raipur Karchuliyan","3959","Kati","465887","Micro","Zinc","Sufficient",3
"2024-25","Gujarat","24","Narmada","452","Dediyapada","4175","Arethi","521593","Macro","Organic Carbon","High",19
"2024-25","Bihar","10","Kaimur (Bhabua)","200","Nuaon","1795","Partabpur","249074","Macro","Organic Carbon","Medium",0
"2023-24","Jharkhand","20","Jamtara","333","Kundhit","3178","Alipur","373306","Macro","Potassium","Medium",0
"2023-24","West Bengal","19","Bankura","305","Raipur-I","2788","Uparbanda","329508","Macro","Phosphorus","Low",2
"2024-25","Madhya Pradesh","23","Khargone (West Nimar)","414","Kasrawad","3895","Chichalay","477138","Micro","Sulphur","Sufficient",70
"2024-25","Uttarakhand","5","Udham Singh Nagar","56","Rudrapur","439","Bindu Khera","55926","Macro","Organic Carbon","High",0
"2024-25","Bihar","10","Nalanda","209","Rahui","1909","Sherpur","244409","Micro","Manganese","Sufficient",18
"2024-25","Bihar","10","Rohtas","215","Dinara","2015","Khalsapur","250938","Micro","Boron","Sufficient",1
"2023-24","Rajasthan","8","Karauli","108","Sapotra","733","Asha Ki Guwari","77034","Macro","Electrical Conductivity","Saline",0
"2023-24","Karnataka","29","Chitradurga","533","Hosdurga","5813","Doddabyladakere","606044","Micro","Sulphur","Sufficient",70
